Months since started cubing	Months since started speedcubing	Best 3x3 single	Best 3x3 Ao5	Best 3x3 Ao12	Best 3x3 Ao100	Known algorithm sets
48	12	14.62	20.3			Just whatever I have for beginners method, OLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - S (Sune), COLL - AS (Antisune)
120	72	9.2	12.47	13.07	14.67	OCLL (the corners part of 2-look OLL), OLL, PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), TTLL, TLSE
48	48	12.83	17.16	18.22	20.21	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
36	24	28				EOLL (non-corner-preserving - the edge part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
60	60	15	20.09	21	23	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
36	24	8.35	11.19	12.12	13.33	PLL
60	60	12.11	17.31	18.66	20.29	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
60	18	8.45	11.31	12.26	13.84	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno)
3	3	28.8	36.76	41.12	46.78	Just whatever I have for beginners method, PLL
24	24	7.7	10.8	11.3	12.2	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), VHLS (intuitive is fine), WV
72	12	20.89	28.98	31.57	33.76	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
60	18	16.49	22.14	12.83	24.77	OLL, PLL
3	18	43	49.4			COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
18	12	24	29	31	34	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
12	6	10.1	12.4	15.3	17.1	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, VHLS (intuitive is fine)
12	3	26.11				Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
60	6	14.85	19.32	20.68		OLL, PLL
24	18	6.57	9.3	10.07	10.65	Just whatever I have for beginners method, OLL, PLL
48	48	6.58	8.75	9.48	10.61	OLL, PLL
12	12	10.74	14.83	16.28	17.86	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
36	36	3.95	6.77	7.45	8.73	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), 2GLL - T, 2GLL - U
3	1	11.5	14			PLL
60	3	17.54	21.58	22.13		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
72	24	10.06	12.36	13.71		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, ELL, CLL, CMLL
120	120					OLL, PLL
12	12	23	2:50			OLL, PLL
36	36	10	11	20	21	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, ELL, CLL, CMLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), 2GLL - T, 2GLL - U, 2GLL - L, 2GLL - H, 2GLL - Pi, 2GLL - S, 2GLL - AS, ZBLL - T, ZBLL - U, ZBLL - L, ZBLL - H, ZBLL - Pi, ZBLL - S, ZBLL - AS, ZZLL, Line (1LLL set), OLLCP (50% or greater), VHLS (intuitive is fine), Magic Wondeful, WV, SV, VLS, HLS, ELS, CLS, OLS, other (any), CPLS, TTLL, TLSE
72	3	17.05	23.03	26.28	31.17	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
12	12	16	18	18	20	OLL, PLL
48	48	11.25	13.22	15.74	17.36	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CMLL
	24	9.65	12.28	14.22	15.55	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, ELL, CLL, Line (1LLL set), WV, SV, Tripod, anti-Line, anti-PLL, misc. algs from almost all sets listed
3	3	15.6	18.8	20.9	22.4	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), cmll h, pi, half of u
12	12	7.15	10.93	11.12	11.78	PLL
3	3	21.79	24.35	26.35	28.96	OLL, PLL, ZBLL - U
3	3	34:12	42:56	45:08		Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
24	18	10.35	12.68	13.14	14.53	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
24	24	17.85	26.87	29.08	31.29	CMLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
18	12	7.07	8.98	10.32	11.45	OLL, PLL
12	12	7.32	8.68	9.8	11.23	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), Magic Wondeful, WV
12	12	8.56	10.32			EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
60	60	8.27	12.44			Just whatever I have for beginners method, OCLL (the corners part of 2-look OLL), PLL
48	48	7.5	10.45	11.31	13.13	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
18	12	15.21	16.2	18.99	20	OCLL (the corners part of 2-look OLL), PLL, COLL - H (Doublesune), COLL - Pi (Bruno), 2GLL - H, 2GLL - Pi, WV
72	72	17.25	23.03	25.44		CMLL
72	72	9.37	12.45	13.46	14.43	OLL, PLL
24	8	9.99	15.27	16.09	18.38	OLL, PLL
3	3	16.7	19.74	20.96	22.68	OLL, PLL
12	12	13.54				EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
72	72	25				EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
24	24					CMLL
24	24	9.33	11.8	12.64	13.97	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
120	18	50.36	57.51	57.51	57.51	Just whatever I have for beginners method, COLL - S (Sune), COLL - AS (Antisune)
6	3	16.85				Just whatever I have for beginners method, PLL
180	180	5.16	7.51	8.01	9.08	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, Line (1LLL set), tripod, pure oll
36	18	18.27	25.16		27.1	PLL
36	48	7.66	10.49	11.26	12.31	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
72	48	22.95				OLL, PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), 2GLL - T, 2GLL - U, 2GLL - L, 2GLL - H, 2GLL - Pi, 2GLL - S, 2GLL - AS, ZBLL - T, ZBLL - U, ZBLL - L, ZBLL - H, ZBLL - Pi, ZBLL - S, ZBLL - AS, Line (1LLL set)
3	3	0:50.83	1:08.03	1:39.29		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
48	36	13.92	18.55	19.18		OCLL (the corners part of 2-look OLL), PLL
18	18	7.64	9.99	12.11	14.3	Just whatever I have for beginners method, PLL
24	24	15.29	20.39	21.64	23.31	EOLL (non-corner-preserving - the edge part of 2-look OLL), CMLL
3	3	11.03	15.6	16.21	17.3	OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
36	36	8.23	11.42	11.74	14.28	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CMLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), 2GLL - T, WV
		20.79	24.67	26.73	28.02	OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno)
48	48	7.62	10.61	11.11	11.98	OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), 2GLL - T, 2GLL - U, ZBLL - T, ZBLL - U
36	36	9.18	11.97	12.81	14.45	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), VHLS (intuitive is fine), WV, OLS, other (any)
48	60	9.43	11.6	12.93	14.14	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CMLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), VHLS (intuitive is fine)
4.5	4.5	11.51	15.31	16.07	17.23	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
180	3	35	41.11	43	47.93	PLL
		11.62	15.49	16.56		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
48	48	5.69	8.93	9.83	10.99	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CMLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), WV
72	60	6.87	9	9.8	10.6	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), 2GLL - T, 2GLL - U, 2GLL - L, 2GLL - H, 2GLL - Pi, 2GLL - S, 2GLL - AS, ZBLL - T, ZBLL - U, ZBLL - H, ZBLL - Pi
72	1	23.75	38	38	40	OLL, PLL
72	72	18.48	21		27	OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
2	2					Just whatever I have for beginners method
60	60	5.35	7.92	8.7	9.33	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), 2GLL - T, 2GLL - U, 2GLL - L, 2GLL - H, 2GLL - Pi, ZBLL - T, ZBLL - U, ZBLL - L, ZBLL - H, ZBLL - Pi, VHLS (intuitive is fine), WV
72	12	7.75	12.49	13.48	14.92	OLL, PLL, COLL - H (Doublesune)
3	3	10.36	11.74	13.75	20.81	Just whatever I have for beginners method, OLL, PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
12	18	8.91	11.2	11.8	12.7	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
120	72	9.24	2.3	15.24	17.24	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CMLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), 2GLL - T, 2GLL - U, 2GLL - H, 2GLL - Pi, CPLS, My own version of CPLS, which is for every EO'd LS case in FR
36	12	12.14	16.07	16.9	18.7	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
18	12	17.21	21.06	23.68	27.3	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
12	12	7.49	11.69	12.36	13.89	OLL, PLL, COLL - T (Chameleon), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), WV
18	18	7.81	10.69	11.64	13.34	OLL, PLL
24	24	14.09	17.67	19.66	21.12	OLL, PLL, COLL - H (Doublesune), COLL - Pi (Bruno)
48	48	26.77	30.47	35	43	OLL, PLL
36	24	8.15	11.78	12.75	13.9	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, PLL, COLL - H (Doublesune)
48	48	8.55				OLL, PLL
1	1	42.18	58.42	1:01.83		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
3	6	29.49	36.39	40.22	43.17	Just whatever I have for beginners method, OLL, PLL, 4 look ll cfop
36	36	6.78	10.86	11.74	12.72	EOLL (non-corner-preserving - the edge part of 2-look OLL), PLL
72	72	7.66	10.18	10.95	11.56	PLL
72	6	12.37	16.02	17.28	18.96	OLL, PLL
12	6	16	19.76	24.65	29.87	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - S (Sune), OLLCP (50% or greater), WV
72	72	7.4	11.5	12.5	13.94	OLL, PLL
36	12	31				EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
60	6	31.76	40.37			OLL, PLL
180	60	11.48	15.53	17.14	18.67	Just whatever I have for beginners method, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
3	3	21.36	22.65	25.37	28.35	Just whatever I have for beginners method, OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
24	12	24.22	29.84	31.47		OLL, PLL
72	24	8.64	14.21	15.4	17.8	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CMLL
36	36	11.7	15.3	16.65	18.12	OLL, PLL
36	18					PLL, VLS
24	12	17	20	20		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms)
72	72	5.46	6.93	7.25	8.49	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, ELL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), 2GLL - T, 2GLL - U, 2GLL - L, 2GLL - H, ZBLL - T, ZBLL - U, ZBLL - L, WV
48	24	33	39	40	41	CMLL, EO
3	3	29.36				OLL, PLL
24	24	18.78	21.65	23.77	25.82	OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - H (Doublesune), COLL - Pi (Bruno), 2GLL - H, 2GLL - Pi, 2GLL - S, 2GLL - AS
72	48					Just whatever I have for beginners method, PLL
72	72	7.43	10.91	12.04	12.88	OLL, PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - H (Doublesune)
12	1					Just whatever I have for beginners method
18	6	20.23	30.18	32		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL)
36	12	13.03	16.16	18.73	21.85	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
24	18	8.92	12.95	14.69	16.31	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CLL, CMLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), OLLCP (50% or greater), WV, CPLS, TTLL
12	18	15.49	18.7	20.3	21.7	OCLL (the corners part of 2-look OLL), PLL, f2l
24	18	8.84	9.97	10.25	11.98	OCLL (the corners part of 2-look OLL), PLL, ZBLL - T, ZBLL - U, ZBLL - Pi, ZBLL - AS
72	60	00:14.75	00:18.54	20.76	24.56	OLL, PLL
60	36	18.75	27.93	29.46		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
36	36	6.13	8.87	9.64	10.4	OLL, PLL
	72	14.75	18.39	19.12	20.78	OLL, PLL
60	36	9.88	12.13	13.14	14.78	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CLL, CMLL
48	36	8	11	12	14	EOLL (non-corner-preserving - the edge part of 2-look OLL), OLL, PLL, COLL - U (Headlights)
120	120	7.56	9.9	10.84	11.51	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - U (Headlights)
24	24	7.44	11.5	12.43	13.1	OLL, PLL
18	18	15.79				OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
36	36	13.36	17.3	18.75	19.11	OCLL (the corners part of 2-look OLL), PLL
6	6	18.38	22.29	24.19		EOLL (non-corner-preserving - the edge part of 2-look OLL), PLL
12	6					OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
12	12	23.41				
	1					Just whatever I have for beginners method
24	24	13.96	16.5	17.3	20	Just whatever I have for beginners method, OLL, PLL
24	6	10.84	14.95	16.26	17.88	PLL
1	3	33.9	59.33	52.42		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
24	12	13.26	15.85	16.26	18.19	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
36	36					OLL, PLL
3	3	25.79	32.28	35.47	39.5	CMLL
24	3					OCLL (the corners part of 2-look OLL), CMLL
60	36	9.3	11.81	12.87	14.08	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
24	24	15.14	18.73	18.98	21.14	OCLL (the corners part of 2-look OLL), PLL
3	6	40.06	1:06.52	1:02.78	58.39	Just whatever I have for beginners method
120	72	19				EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
18	12	12	16.8	18.5	19.5	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
180	24	14.16	16.93	17.22	19.46	OLL, PLL
120	72	10.93	16.35	17.21		EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
48	48					
60	60	4.81	6.63	7.14	7.9	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, ELL, CLL, CMLL
36	36	11.99	15.89	17.68	18.94	OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
3	2	19.82	28.69	29.96	34.68	OLL, PLL
18	6	16.5	21.65	23.65	24.56	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
120	48	19.57	22			OCLL (the corners part of 2-look OLL), PLL, WV, TLSE
24	6	11.28	14.51	14.98	16.89	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - H (Doublesune), COLL - Pi (Bruno), VHLS (intuitive is fine)
60	24	7.63	9.57	10.47	11.11	OLL, PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune), ZBLL - H, Magic Wondeful, WV, VLS
48	18	16.3	19.42	21.7	26.04	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
6	6	25.84	34.86	38.6	42.21	OLL, PLL
12	6	13	15	16	18	EOLL (non-corner-preserving - the edge part of 2-look OLL)
60	3	21.59	30.46	32.95		Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms)
48	36	18.09	23.54	24.95	28.82	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
1	12	59.9	1:18.14	1:16.20		Just whatever I have for beginners method, CFOP
3	3	14.23	23.72	25.63	27.98	OLL, PLL, VHLS (intuitive is fine)
12	12	11.89	15	17	19	OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
72	72	4.39	4.39	7.22	7.75	OLL, PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune)
12	6	9.47	18.43	21.74	21.97	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL
36	24	10.19	12.98	14.45	15.23	OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, CLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), ZZLL, VHLS (intuitive is fine), CLS, OLS, other (any), TLSE
120	72	10.83	17.83	19	20.09	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), OLL, EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - U (Headlights), WV
72	72					Just whatever I have for beginners method
120	120	19.42	23.65	26.94	29.85	Just whatever I have for beginners method, EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL
72	24	9.47	11.74	13.12	14.81	OLL, PLL
36	24	10.23	12.67	13.85	15.06	OLL, PLL
12	3	23:54	31:56	32:23	34:35	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL, COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune)
72	12	13.48	17.47	18.98	20.02	OCLL (the corners part of 2-look OLL), PLL
24	12	14.09	24	23	25	OLL, PLL
48	1	13	20			PLL
1	1	1.54				Just whatever I have for beginners method
36	6	22.71	31.25	33.32	35.77	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
60	24	5.14	6.82			EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - H (Doublesune), COLL - Pi (Bruno), WV
1	1	33.43	36.84	40.32		OLL, PLL
1	1	59	1.18	1.24	1.25	EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL)
3	3	32	37	40	47	OCLL (the corners part of 2-look OLL), EPLL (PLL for edges, i.e. U/H/Z perms), PLL, COLL - T (Chameleon), COLL - U (Headlights), COLL - L (Bowtie), COLL - H (Doublesune), COLL - Pi (Bruno), COLL - S (Sune), COLL - AS (Antisune)
3	3	19.46	22.29	24.72	26.47	Line (1LLL set), VHLS (intuitive is fine)
36	6	21	30.58			OLL, PLL
3	72	23.73	27.44	28.08	28.87	OLL, PLL
36	36	10.13				EOLL (non-corner-preserving - the edge part of 2-look OLL), OCLL (the corners part of 2-look OLL), PLL
